NO,Name,DateCreatedYear,DateEstablishedYear,ArticleFrequency,Note( I select some mesh term to find why their frequency is 0 ),
D002920,Cialit,1974,1991,56,,
D002921,Cicatrix,1999,1966,19160,,
D002922,Ciguatoxins,1977,1991,424,,
D002923,Cilia,1999,1965,10774,,
D002924,Ciliary Body,1999,1966,7791,,
D002925,Ciliary Motility Disorders,1983,1984,915,,
D002927,Cimetidine,1977,1984,9142,,
D002928,Cinanserin,1974,1991,214,,
D002929,Cinchona,1999,1966,325,,
D002930,Cinchona Alkaloids,1976,1977,592,,
D002932,Cineangiography,1999,1966,4640,,
D002933,Cineradiography,1999,1973,3130,,
D002934,Cinnamates,1999,1966,4918,,
D002935,Cinnamomum zeylanicum,1999,1991,542,,
D002936,Cinnarizine,1974,1986,717,,
D002937,Cinoxacin,1979,1991,123,,
D002938,Ciona intestinalis,1974,1991,1065,,
D002939,Ciprofloxacin,1986,1987,11304,,
D002940,Circadian Rhythm,1999,1966,64525,,
D002941,Circle of Willis,1999,1965,1742,,
D002942,Circular Dichroism,1999,1991,38668,,
D002943,Circulatory and Respiratory Physiological Phenomena,1999,1998,0,,
D002944,"Circumcision, Male",1999,2007,4519,,
D002945,Cisplatin,1999,1984,44600,,
D002946,Cisterna Magna,1999,1966,2075,,
D002947,Cities,1999,1998,11714,,
D002949,Citraconic Anhydrides,1974,1991,85,,
D002950,Citrate (si)-Synthase,1999,1991,3270,,
D002951,Citrates,1999,1960,15282,,
D002952,Citric Acid Cycle,1999,1985,6122,,
D002953,Citrinin,1974,1991,441,,
D002954,Citrobacter,1999,1979,1096,,
D002955,Leucovorin,1999,1990,8876,,
D002956,Citrulline,1999,1965,3727,,
D002957,Citrus,1999,1966,5699,,
D002958,City Planning,1999,1966,1822,,
D002959,Civil Defense,1999,1966,2321,,
D002960,Civil Disorders,1999,1970,770,,
D002961,Civil Rights,1999,1968,9691,,
D002962,Civilization,1999,1966,783,,
D002963,Cladosporium,1974,1991,1163,,
D002965,Classification,1999,1966,9281,,
D002966,Clathrin,1983,1984,3444,,
D002967,Claviceps,1999,1974,650,,
D002968,Clavicle,1999,1966,5078,,
D002969,Clavulanic Acids,1982,1983,1669,,
D002970,"Cleavage Stage, Ovum",1979,1980,2148,,
D002971,Cleft Lip,1999,1965,12955,,
D002972,Cleft Palate,1999,1966,18058,,
D002973,Cleidocranial Dysplasia,1999,1985,882,,
D002974,Clemastine,1999,1991,293,,
D002976,Clenbuterol,1977,1991,1307,,
D002977,Clergy,1999,1973,1993,,
D002979,Climacteric,1999,1966,4820,,
D002980,Climate,1999,1966,19074,,
D002981,Clindamycin,1999,1974,5190,,
D002982,Clinical Clerkship,1982,1991,4208,,
D002983,Clinical Competence,1974,1975,74733,,
D002984,Clinical Laboratory Information Systems,1986,1991,1941,,
D002985,Clinical Protocols,1987,1988,22982,,
D002986,Clinical Trials as Topic,1979,1980,177498,,
D002987,Clitoris,1999,1966,1453,,
D002988,Cloaca,1999,1968,2049,,
D002989,Cloacin,1979,1991,49,,
D002990,Clobetasol,1976,1991,1159,,
D002991,Clofazimine,1999,1974,1007,,
D002992,Clofenapate,1974,1991,53,,
D002994,Clofibrate,1999,1972,3727,,
D002995,Clofibric Acid,1979,1991,1351,,
D002996,Clomiphene,1999,1968,4990,,
D002997,Clomipramine,1999,1980,2723,,
D002998,Clonazepam,1974,1987,2385,,
D002999,Clone Cells,1999,1968,32464,,
D003000,Clonidine,1999,1973,12808,,
D003001,"Cloning, Molecular",1978,1980,163731,,
D003002,Clonixin,1974,1991,540,,
D003003,Clonorchiasis,1999,1966,793,,
D003004,Clonorchis sinensis,1999,1972,654,,
D003005,Clopamide,1999,1974,307,,
D003006,Clopenthixol,1999,1991,386,,
D003007,Clopidol,1974,1991,65,,
D003008,Cloprostenol,1977,1991,1249,,
D003009,Clorazepate Dipotassium,1974,1991,322,,
D003010,Clorgyline,1974,1991,908,,
D003011,Closing Volume,1977,1991,277,,
D003012,Microbial Collagenase,1999,1966,5425,,
D003013,Clostridium,1999,1966,9483,,
D003014,Clostridium botulinum,1999,1966,2605,,
D003015,Clostridium Infections,1999,1968,6157,,
D003016,Clostridium perfringens,1999,1966,6500,,
D003017,Clostridium tetani,1999,1966,872,,
D003018,Clot Retraction,1999,1973,902,,
D003020,Clothing,1999,1966,8192,,
D003022,Clotrimazole,1974,1991,1581,,
D003023,Cloxacillin,1999,1967,1578,,
D003024,Clozapine,1974,1991,7216,,
D003025,Clubfoot,1999,1966,3426,,
D003026,Clupeine,1999,1991,54,,
D003027,Cluster Headache,1977,1991,2348,,
D003028,CME-Carbodiimide,1974,1991,90,,
D003029,Coagulants,1999,1975,2391,,
D003030,Coagulase,1999,1966,3403,,
D003031,Coal,1999,1968,4489,,
D003032,Coal Mining,1999,1966,3684,,
D003033,Coal Tar,1999,1966,2273,,
D003034,"Coated Pits, Cell-Membrane",1982,1991,1272,,
D003035,Cobalt,1999,1966,17977,,
D003036,Cobalt Isotopes,1999,1966,5862,,
D003037,Cobalt Radioisotopes,1999,1974,9443,,
D003038,Cobamides,1999,1974,1027,,
D003039,Cobra Neurotoxin Proteins,1977,1991,386,,
D003040,Cobra Venoms,1977,1978,2101,,
D003041,Coca,1999,1966,261,,
D003042,Cocaine,1999,1960,22272,,
D003043,Cocarcinogenesis,1976,1977,2984,,
D003044,Coccidia,1999,1979,928,,
D003045,Coccidioides,1999,1966,1263,,
D003046,Coccidioidin,1974,1991,178,,
D003047,Coccidioidomycosis,1999,1966,2803,,
D003048,Coccidiosis,1999,1995,6782,,
D003049,Coccidiostats,1974,1975,1328,,
D003050,Coccyx,1999,1966,925,,
D003051,Cochlea,1999,1966,16560,,
D003052,Cochlear Aqueduct,1978,1991,262,,
D003053,Cochlear Duct,1999,1991,441,,
D003054,Cochlear Implants,1978,1980,7903,,
D003055,Cochlear Microphonic Potentials,1978,1991,1217,,
D003056,Cochlear Nerve,1999,1963,4839,,
D003057,Cockayne Syndrome,1980,1991,771,,
D003058,Cockroaches,1999,1972,3799,,
D003059,Cocos,1999,1991,1180,,
D003060,Cod Liver Oil,1999,1991,514,,
D003061,Codeine,1999,1960,4207,,
D003062,Codon,1999,1991,19153,,
D003063,Cnidaria,1999,1995,2903,,
D003064,Cnidarian Venoms,1977,1978,1328,,
D003065,Coenzyme A,1999,1966,5186,,
D003066,Coenzyme A Ligases,1999,1973,2142,,
D003067,Coenzymes,1999,1966,7310,,
D003068,Coercion,1977,1978,4075,,
D003069,Coffee,1999,1966,5427,,
D003070,Coformycin,1977,1990,482,,
D003071,Cognition,1999,1966,75026,,
D003072,Cognition Disorders,1999,1969,57469,,
D003073,Cognitive Dissonance,1999,1969,669,,
D003074,Solitary Pulmonary Nodule,1999,1965,3304,,
D003075,Coitus,1999,1966,6793,,
D003076,Coitus Interruptus,1974,1975,198,,
D003077,Coke,1999,1991,732,,
D003078,Colchicine,1999,1966,13267,,
D003079,Colchicum,1999,1991,187,,
D003080,Cold Temperature,1999,2009,46020,,
D003081,Cold Climate,1999,1960,2805,,
D003082,Colectomy,1999,1965,14761,,
D003084,Colestipol,1974,1991,391,,
D003085,Colic,1999,1966,4082,,
D003086,Bacteriocin Plasmids,1977,1991,538,,
D003087,Colicins,1999,1966,2601,,
D003088,Colinus,1974,1991,275,,
D003089,Colipases,1975,1991,467,,
D003090,Coliphages,1999,1966,14323,,
D003091,Colistin,1999,1966,2966,,
D003092,Colitis,1999,1966,16634,,
D003093,"Colitis, Ulcerative",1999,1966,29848,,
D003094,Collagen,1999,1966,83579,,
D003095,Collagen Diseases,1999,1966,6100,,
D003096,Collapse Therapy,1999,1966,1397,,
D003097,Collateral Circulation,1999,1966,11353,,
D003098,Collective Bargaining,1999,1971,2810,,
D003099,College Admission Test,1999,1991,560,,
D003100,Colles' Fracture,1999,1991,838,,
D003101,Collodion,1999,1966,2199,,
D003102,Colloids,1999,1966,14937,,
D003103,Coloboma,1999,1973,2003,,
D003104,Colobus,1974,1991,241,,
D003105,Colombia,1999,1966,7251,,
D003106,Colon,1999,1966,53614,,
D003107,Colorectal Surgery,1999,1998,2592,,
D003108,Colonic Diseases,1999,1966,15153,,
D003109,"Colonic Diseases, Functional",1999,1965,3623,,
D003110,Colonic Neoplasms,1999,1964,63304,,
D003111,Colonic Polyps,1983,1984,7051,,
D003112,Colonic Pseudo-Obstruction,1986,1991,636,,
D003113,Colonoscopy,1980,1981,21267,,
D003114,Colony-Forming Units Assay,1977,1979,12252,,
D003115,Colony-Stimulating Factors,1975,1979,5087,,
D003116,Color,1999,1966,22866,,
D003117,Color Vision Defects,1999,1990,3777,,
D003118,Color Perception,1999,1966,15279,,
D003119,Color Perception Tests,1999,1966,2448,,
D003120,Colorado,1999,1966,7908,,
D003121,Colorado Tick Fever,1999,1991,111,,
D003122,Colorado tick fever virus,1974,1991,53,,
D003123,"Colorectal Neoplasms, Hereditary Nonpolyposis",1986,1987,3755,,
D003124,Colorimetry,1999,1966,19353,,
D003125,Colostomy,1999,1960,8248,,
D003126,Colostrum,1999,1966,5568,,
D003127,Colposcopy,1999,1966,5764,,
D003128,Coma,1999,1966,11732,,
D003129,Comb and Wattles,1999,1968,347,,
D003130,Combat Disorders,1999,1963,2811,,
D003131,Combined Modality Therapy,1983,1984,153548,,
D003132,Commerce,1999,1966,20674,,
D003133,Commission on Professional and Hospital Activities,1977,1991,238,,
D003134,Commitment of Mentally Ill,1974,1983,6391,,
D003135,Common Bile Duct,1999,1966,10252,,
D003137,Common Bile Duct Diseases,1979,1980,3033,,
D003138,Common Bile Duct Neoplasms,1979,1980,3463,,
D003139,Common Cold,1999,1966,4008,,
D003140,Communicable Disease Control,1999,1966,19196,,
D003141,Communicable Diseases,1999,1966,25819,,
D003142,Communication,1999,1966,70181,,
D003143,Communication Aids for Disabled,1979,1991,2301,,
D003144,Communication Barriers,1978,1991,5406,,
D003145,"Communication Methods, Total",1978,1991,277,,
D003146,Communications Media,1999,1998,1314,,
D003147,Communication Disorders,1984,1985,1849,,
D003148,Communism,1999,1966,2933,,
D003149,Community Dentistry,1999,1991,1177,,
D003150,Community Health Workers,1999,1971,3848,,
D003151,Community Health Centers,1999,1979,6335,,
D003152,Community Health Nursing,1974,1977,18904,,
D003153,Community Health Services,1999,1967,28580,,
D003154,Community Medicine,1999,1977,1931,,
D003155,Community Mental Health Centers,1978,1979,2759,,
D003156,Community Mental Health Services,1999,1967,17289,,
D003157,Community Pharmacy Services,1999,1968,3337,,
D003158,Community Psychiatry,1999,1973,1756,,
D003159,Community-Institutional Relations,1977,1978,9926,,
D003160,Comparative Study,1999,1966,0,,
D003161,Compartment Syndromes,1980,1981,4062,,
D003162,Competency-Based Education,1978,1991,3178,,
D003163,Competitive Behavior,1999,1968,6314,,
D003164,Competitive Bidding,1985,1991,889,,
D003165,Complement System Proteins,1999,2006,25624,,
D003166,Complement Activating Enzymes,1977,1978,1273,,
D003167,Complement Activation,1977,1979,9286,,
D003168,Complement Fixation Tests,1999,1963,16735,,
D003169,Complement Inactivator Proteins,1977,1978,2411,,
D003170,"Complement Pathway, Alternative",1977,1991,2413,,
D003171,"Complement Pathway, Classical",1977,1991,1752,,
D003172,Complement C1,1974,1978,1628,,
D003173,Complement C1s,1977,1990,434,,
D003174,Complement C1 Inactivator Proteins,1977,1978,1909,,
D003175,Complement C2,1974,1978,1077,,
D003176,Complement C3,1974,1978,11881,,
D003178,Complement C3 Nephritic Factor,1977,1991,236,,
D003179,Complement C3b,1977,1978,1845,,
D003180,Complement C3b Inactivator Proteins,1977,1978,591,,
D003181,Complement C4,1974,1978,4712,,
D003182,Complement C5,1974,1978,2434,,
D003183,Complement C6,1974,1978,543,,
D003184,Complement C7,1974,1978,394,,
D003185,Complement C8,1974,1978,434,,
D003186,Complement C9,1974,1978,758,,
D003187,Compliance,1999,1991,3806,,
D003188,Composite Resins,1999,1973,20744,,
D003189,p-Methoxy-N-methylphenethylamine,1999,1966,2566,,
D003190,Comprehensive Dental Care,1999,1973,630,,
D003191,Comprehensive Health Care,1999,1968,6277,,
D003192,Compulsive Behavior,1999,1968,2520,,
D003193,Compulsive Personality Disorder,1999,1991,473,,
D003194,Computer-Assisted Instruction,1999,1974,10418,,
D003195,Computer Communication Networks,1986,1991,13060,,
D003196,Computer Graphics,1986,1987,12852,,
D003197,Computer Literacy,1986,1987,1529,,
D003198,Computer Simulation,1986,1987,159344,,
D003199,Computer Systems,1986,1987,12192,,
D003200,Computer User Training,1986,1987,1994,,
D003201,Computers,1999,1966,49418,,
D003202,"Computers, Analog",1999,1966,1647,,
D003203,"Computers, Hybrid",1999,1973,320,,
D003204,"Computers, Mainframe",1986,1991,127,,
D003205,Computing Methodologies,1986,1997,1039,,
D003207,Conalbumin,1974,1991,571,,
D003208,Concanavalin A,1999,1974,17368,,
D003209,Concentration Camps,1999,1991,982,,
D003210,Concept Formation,1999,1966,10318,,
D003211,Concurrent Review,1977,1991,377,,
D003212,Condiments,1999,1966,1061,,
D003213,Conditioning (Psychology),1999,1965,13108,,
D003214,"Conditioning, Classical",1999,1973,19471,,
D003215,"Conditioning, Eyelid",1999,1969,1152,,
D003216,"Conditioning, Operant",1999,1968,18466,,
D003217,Conductometry,1999,1968,1833,,
D003218,Condylomata Acuminata,1999,1972,4854,,
D003219,Confidentiality,1999,1975,21406,,
D003220,Conflict (Psychology),1999,1968,15147,,
D003221,Confusion,1999,1991,4324,,
D003223,Congo,1999,1966,1564,,
D003224,Congo Red,1999,1966,1784,,
D003225,"Hemorrhagic Fever Virus, Crimean-Congo",1974,1991,626,,
D003226,Congresses as Topic,1999,2008,22904,,
D003227,"Conjugation, Genetic",1999,1968,7778,,
D003228,Conjunctiva,1999,1966,13970,,
D003229,Conjunctival Diseases,1980,1981,2997,,
D003230,Conjunctival Neoplasms,1980,1981,2272,,
D003231,Conjunctivitis,1999,1966,5736,,
D003232,"Conjunctivitis, Acute Hemorrhagic",1985,1986,167,,
D003233,"Conjunctivitis, Allergic",1985,1986,2976,,
D003234,"Conjunctivitis, Bacterial",1985,1986,905,,
D003235,"Conjunctivitis, Inclusion",1999,1967,718,,
D003236,"Conjunctivitis, Viral",1985,1986,510,,
D003237,Connecticut,1999,1966,8202,,
D003238,Connective Tissue,1999,1966,21032,,
D003239,Connective Tissue Cells,1999,1998,2857,,
D003240,Connective Tissue Diseases,1978,1980,5910,,
D003241,Consanguinity,1999,1966,9397,,
D003242,Conscience,1999,1991,1298,,
D003243,Consciousness,1999,1966,10589,,
D003244,Consciousness Disorders,1999,1991,2344,,
D003245,Consensus Development Conferences as Topic,1987,1988,2132,,
D003246,Conservation of Energy Resources,1979,1991,2615,,
D003247,Conservation of Natural Resources,1976,1977,31608,,
D003248,Constipation,1999,1966,11858,,
D003249,Constitution and Bylaws,1977,1991,1139,,
D003250,Constriction,1999,1976,7395,,
D003251,"Constriction, Pathologic",1975,1976,26935,,
D003252,Construction Materials,1999,1974,5259,,
D003253,Consultants,1977,1978,6296,,
D003254,Consumer Advocacy,1981,1982,3133,,
D003255,Consumer Organizations,1999,1968,1243,,
D003256,Community Participation,1999,1974,15030,,
D003257,Consumer Product Safety,1981,1982,11014,,
D003258,Consumer Behavior,1999,1968,18697,,
D003259,Consummatory Behavior,1999,1968,440,,
D003260,Contact Inhibition,1999,1970,1333,,
D003261,Contact Lenses,1999,1966,7987,,
D003262,"Contact Lenses, Extended-Wear",1983,1989,838,,
D003263,"Contact Lenses, Hydrophilic",1999,1974,3687,,
D003264,Containment of Biohazards,1979,1980,1443,,
D003265,Contingent Negative Variation,1999,1991,2067,,
D003266,Continuity of Patient Care,1999,1991,16091,,
D003267,Contraception,1999,1963,17692,,
D003268,Contraception Behavior,1974,1975,6780,,
D003269,"Contraception, Immunologic",1974,1991,671,,
D003270,Contraceptive Agents,1999,1967,4204,,
D003271,"Contraceptive Agents, Female",1999,1975,7468,,
D003272,"Contraceptive Agents, Male",1999,1975,1158,,
D003273,Contraceptive Devices,1999,1967,1373,,
D003274,"Contraceptive Devices, Female",1974,1975,1644,,
D003275,"Contraceptive Devices, Male",1974,1975,918,,
D003276,"Contraceptives, Oral",1999,1966,18765,,
D003277,"Contraceptives, Oral, Combined",1975,1986,4434,,
D003278,"Contraceptives, Oral, Hormonal",1999,1986,4863,,
D003279,"Contraceptives, Oral, Sequential",1975,1991,251,,
D003280,"Contraceptives, Oral, Synthetic",1999,1986,1818,,
D003281,"Contraceptives, Postcoital",1999,1973,1803,,
D003282,"Contraceptives, Postcoital, Hormonal",1999,1991,227,,
D003283,"Contraceptives, Postcoital, Synthetic",1999,1991,251,,
D003284,Contract Services,1977,1991,10337,,
D003285,Contractile Proteins,1976,1977,2959,,
D003286,Contracture,1999,1966,7384,,
D003287,Contrast Media,1999,1966,74142,,
D003288,Contusions,1999,1966,4517,,
D003289,Convalescence,1999,1966,3424,,
D003290,"Convergence, Ocular",1984,1991,1510,,
D003291,Conversion Disorder,1999,1969,2602,,
D003292,Convulsants,1974,1975,3422,,
D003294,"Seizures, Febrile",1976,1982,2661,,
D003295,Convulsive Therapy,1999,1981,3473,,
D003296,Cooking,1999,2011,9202,,
D003297,Cooking and Eating Utensils,1999,1966,1117,,
D003298,Coombs Test,1999,2013,4391,,
D003299,Cooperative Behavior,1999,1973,36474,,
D003300,Copper,1999,1966,59676,,
D003301,Copper Radioisotopes,1987,1988,831,,
D003302,Coprinus,1974,1991,428,,
D003303,Coprophagia,1999,1970,220,,
D003304,Coproporphyrinogen Oxidase,1975,1991,262,,
D003305,Coproporphyrinogens,1975,1991,73,,
D003306,Coproporphyrins,1974,1991,771,,
D003307,Copulation,1974,1975,3542,,
D003308,Copying Processes,1999,1966,740,,
D003309,Copyright,1999,1966,637,,
D003310,Cor Triatriatum,1986,1987,609,,
D003311,Cord Factors,1974,1991,445,,
D003312,Coriolis Force,1999,1970,340,,
D003313,Zea mays,1999,1966,25141,,
D003314,Corn Oil,1986,1991,1600,,
D003315,Cornea,1999,1966,41752,,
D003316,Corneal Diseases,1975,1976,11155,,
D003317,"Corneal Dystrophies, Hereditary",1999,1990,2985,,
D003318,Corneal Opacity,1999,1963,3544,,
D003319,Corneal Stroma,1982,1991,4713,,
D003320,Corneal Ulcer,1999,1965,4734,,
D003321,Cornell Medical Index,1975,1991,131,,
D003323,Coronary Aneurysm,1986,1987,3422,,
D003324,Coronary Artery Disease,1986,1987,47913,,
D003325,Coronary Care Units,1999,1972,4119,,
D003326,Coronary Circulation,1999,1972,34314,,
D003327,Coronary Disease,1999,1966,128052,,
D003328,Coronary Thrombosis,1986,1991,6999,,
D003329,Coronary Vasospasm,1981,1982,3705,,
D003330,Coronary Vessel Anomalies,1999,1966,7571,,
D003331,Coronary Vessels,1999,1966,51040,,
D003332,Coronaviridae,1999,1974,1688,,
D003333,Coronaviridae Infections,1976,1977,884,,
D003334,Coroners and Medical Examiners,1999,1966,1880,,
D003335,Corpora Allata,1976,1977,411,,
D003336,Tectum Mesencephali,1999,1966,1315,,
D003337,Corpus Callosum,1999,1966,9080,,
D003338,Corpus Luteum,1999,1966,10372,,
D003339,Corpus Luteum Hormones,1999,1966,266,,
D003340,Corpus Luteum Maintenance,1974,1976,289,,
D003341,Luteolysis,1974,1976,1016,,
D003342,Corpus Striatum,1999,1974,31429,,
D003343,Corrosion,1999,1973,4671,,
D003344,Cortical Synchronization,1999,1991,2685,,
D003345,Corticosterone,1999,1966,23592,,
D003346,Corticotropin-Releasing Hormone,1999,1968,11195,,
D003348,Cortisone,1999,1960,19407,,
D003349,Cortisone Reductase,1974,1991,116,,
D003350,Cortodoxone,1974,1991,828,,
D003352,Corynebacterium,1999,1966,4914,,
D003353,Corynebacterium diphtheriae,1999,1966,2378,,
D003354,Corynebacterium Infections,1999,1972,1948,,
D003355,Corynebacterium pyogenes,1999,1991,210,,
D003357,Cosmetic Techniques,1999,1998,3880,,
D003358,Cosmetics,1999,1966,6656,,
D003359,Cosmic Radiation,1999,1966,2230,,
D003360,Cosmids,1985,1986,3117,,
D003361,Cost Allocation,1978,1991,1972,,
D003362,Cost-Benefit Analysis,1975,1976,66909,,
D003363,Cost Control,1978,1980,20916,,
D003364,Costa Rica,1999,1966,3079,,
D003365,Costs and Cost Analysis,1999,1966,44364,,
D003366,Cosyntropin,1974,1988,1523,,
D003367,Cotinine,1974,1991,3467,,
D003368,Gossypium,1999,2003,5175,,
D003369,Cottonseed Oil,1999,1987,956,,
D003370,Coturnix,1974,1991,5035,,
D003371,Cough,1999,1966,13581,,
D003372,Coumaphos,1999,1991,164,,
D003373,Coumaric Acids,1975,1991,3557,,
D003374,Coumarins,1999,1966,12098,,
D003375,Coumestrol,1974,1991,231,,
D003376,Counseling,1999,1966,31037,,
D003377,Countercurrent Distribution,1999,1967,1946,,
D003378,Counterimmunoelectrophoresis,1975,1991,1858,,
D003379,Countertransference (Psychology),1999,1968,2725,,
D003380,Courtship,1999,1966,1975,,
D003381,Coxiella,1999,1966,1032,,
D003384,Coxsackievirus Infections,1999,1979,4062,,
D003386,Brachyura,1999,1972,5058,,
D003387,Cracked Tooth Syndrome,1999,1991,191,,
D003388,"Cranial Fossa, Posterior",1999,1991,4350,,
D003389,Cranial Nerve Diseases,1999,1981,3591,,
D003390,Cranial Nerve Neoplasms,1977,1978,3786,,
D003391,Cranial Nerves,1999,1966,3429,,
D003392,Cranial Sinuses,1999,1966,2426,,
D003393,Cranial Sutures,1980,1991,1841,,
D003394,Craniofacial Dysostosis,1999,1966,2375,,
D003395,Craniology,1999,1966,232,,
D003397,Craniopharyngioma,1999,1966,4045,,
D003398,Craniosynostoses,1999,1963,4016,,
D003399,Craniotomy,1999,1965,10885,,
D003400,Astacoidea,1999,1972,3916,,
D003401,Creatine,1999,1968,8598,,
D003402,Creatine Kinase,1999,1966,22981,,
D003404,Creatinine,1999,1968,50235,,
D003405,Creativity,1999,2013,6201,,
D003406,Credentialing,1978,1980,3850,,
D003407,Creosote,1999,1991,294,,
D003408,Cresols,1999,1966,3821,,
D003409,Congenital Hypothyroidism,1999,2006,4106,,
D003410,Cri-du-Chat Syndrome,1999,1966,627,,
D003411,Arvicolinae,1981,1982,4585,,
D003412,Cricetulus,1977,1991,24330,,
D003413,Cricoid Cartilage,1978,1991,2102,,
D003414,Crigler-Najjar Syndrome,1999,1991,430,,
D003415,Crime,1999,1968,14049,,
D003416,Criminal Law,1977,1991,4989,,
D003417,Criminal Psychology,1999,1966,2987,,
D003418,Criminology,1999,1966,955,,
D003419,Crisis Intervention,1999,1970,5346,,
D003420,Crisscross Heart,1986,1991,57,,
D003421,Crithidia,1977,1979,628,,
D003422,Critical Care,1974,1975,43682,,
D003423,Critical Period (Psychology),1999,1968,870,,
D003424,Crohn Disease,1999,1965,33449,,
D003425,Flurogestone Acetate,1999,1991,109,,
D003426,"Crop, Avian",1999,1968,527,,
D003427,Cross Circulation,1999,1991,292,,
D003428,Cross Infection,1999,1963,49793,,
D003429,Cross Reactions,1999,1972,35591,,
D003430,Cross-Sectional Studies,1974,1990,222895,,
D003431,Cross-Cultural Comparison,1999,1968,23046,,
D003432,Cross-Linking Reagents,1979,1980,22295,,
D003433,"Crosses, Genetic",1999,1968,25219,,
D003434,"Crossing Over, Genetic",1999,1968,4900,,
D003435,Crotalid Venoms,1977,1978,3962,,
D003436,Croton Oil,1999,1966,1017,,
D003437,Crotonates,1999,1991,461,,
D003439,Crotoxin,1977,1991,296,,
D003440,Croup,1999,1991,1098,,
D003441,Crowding,1999,1968,2610,,
D003442,Crowns,1999,1965,14604,,
D003444,Crush Syndrome,1999,1991,921,,
D003445,Crustacea,1999,1966,7432,,
D003446,Crutches,1999,1966,604,,
D003448,Crying,1999,1970,2315,,
D003449,Cryoglobulinemia,1981,1985,2859,,
D003450,Cryoglobulins,1999,1966,2907,,
D003451,Cryoprotective Agents,1999,1972,4880,,
D003452,Cryosurgery,1999,1984,11602,,
D003453,Cryptococcosis,1999,1966,6707,,
D003454,Cryptococcus,1999,1966,2696,,
D003455,Cryptococcus neoformans,1999,1991,5343,,
D003456,Cryptorchidism,1999,1995,7703,,
D003457,Cryptosporidiosis,1984,1985,4700,,
D003458,Cryptosporidium,1984,1991,3022,,
D003459,Crystallins,1999,1968,5067,,
D003460,Crystallization,1999,1966,47585,,
D003461,Crystallography,1999,1966,8424,,
D003462,Cuba,1999,1966,4555,,
D003463,Cues,1999,1966,30848,,
D003464,Culdoscopy,1999,1966,459,,
D003465,Culex,1999,1966,6664,,
D003466,Cultural Characteristics,1999,1991,14600,,
D003467,Cultural Deprivation,1999,1968,1097,,
D003468,Cultural Evolution,1977,1991,1106,,
D003469,Culture,1999,1966,29533,,
D003470,Culture Media,1999,1966,106661,,
D003471,Cuprizone,1974,1991,373,,
D003472,Curare,1999,1960,2827,,
D003473,Neuromuscular Nondepolarizing Agents,1999,1970,4519,,
D003474,Curcumin,1974,1991,6641,,
D003475,Curettage,1999,1965,4076,,
D003476,Curium,1999,1966,163,,
D003479,Curriculum,1999,1966,63600,,
D003480,Cushing Syndrome,1999,1999,11573,,
D003481,Cuspid,1999,1965,7745,,
D003482,Custodial Care,1977,1978,183,,
D003483,Cutis Laxa,1999,1968,709,,
D003484,Cyanamide,1978,1991,539,,
D003485,Cyanates,1999,1966,2664,,
D003486,Cyanides,1999,1966,12118,,
D003487,Cyanoacrylates,1999,1972,2851,,
D003488,Cyanogen Bromide,1999,1973,4358,,
D003489,Cyanoketone,1974,1991,92,,
D003490,Cyanosis,1999,1966,4378,,
D003491,Cybernetics,1999,1966,2238,,
D003492,Cycasin,1974,1991,78,,
D003493,Cyclacillin,1974,1991,70,,
D003494,Cyclamates,1999,1971,516,,
D003495,Cyclandelate,1974,1991,139,,
D003496,Cyclazocine,1999,1973,851,,
D003497,Cyclic N-Oxides,1999,1968,5708,,
D003498,Cyclic P-Oxides,1999,1968,109,,
D003499,Cyclic S-Oxides,1999,1968,425,,
D003500,Cyclization,1999,1974,12919,,
D003501,Cyclizine,1999,1966,265,,
D003503,Cyclobutanes,1999,1974,2289,,
D003504,Ancitabine,1976,1991,100,,
D003505,Cyclodextrins,1979,1991,5828,,
D003506,Cyclofenil,1999,1991,180,,
D003508,Cycloheptanes,1999,1968,845,,
D003509,Cyclohexanecarboxylic Acids,1999,1968,5192,,
D003510,Cyclohexanes,1999,1975,6204,,
D003511,Cyclohexanols,1999,1974,4213,,
D003512,Cyclohexanones,1974,1991,2243,,
D003513,Cycloheximide,1999,1968,18709,,
D003514,Cyclohexylamines,1999,1973,1045,,
D003515,Cycloleucine,1974,1991,1201,,
D003516,Cycloparaffins,1999,1966,1109,,
D003517,Cyclopentanes,1999,1966,7670,,
D003518,Cyclopenthiazide,1974,1991,136,,
D003519,Cyclopentolate,1974,1991,426,,
D003520,Cyclophosphamide,1999,1966,45970,,
D003521,Cyclopropanes,1999,1975,5131,,
D003523,Cycloserine,1999,1966,2319,,
D003524,Cyclosporins,1981,1982,10314,,
D003525,Cyclosteroids,1999,1968,65,,
D003527,Cyclothymic Disorder,1999,1991,594,,
D003528,"Carcinoma, Adenoid Cystic",1999,1994,5475,,
D003529,Cymarine,1974,1991,74,,
D003530,Cyprinidae,1999,1968,7347,,
D003531,Cypriniformes,1986,1987,804,,
D003532,Cyprinodontiformes,1986,1987,1403,,
D003533,Cyproheptadine,1999,1966,2140,,
D003534,Cyproterone,1999,1974,1661,,
D003535,Cyprus,1999,1966,1010,,
D003536,Cystadenocarcinoma,1999,1966,2466,,
D003537,Cystadenoma,1999,1966,3775,,
D003538,Cystamine,1999,1966,1196,,
D003539,Cystaphos,1974,1991,49,,
D003540,Cystathionine,1999,1973,516,,
D003541,Cystathionine beta-Synthase,1974,1991,1323,,
D003542,Cystathionine gamma-Lyase,1974,1991,890,,
